SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert
"BK";"8D";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Erweiterter Erster Schulabschluss (für G8 Schüler)";25;1;"**";"1";
"SB";"8D";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Erweiterter Erster Schulabschluss (für G8 Schüler)";25;1;"**";"1";
"BK";"8D";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Erweiterter Erster Schulabschluss (für G8 Schüler)";26;3;"**";"1";
"SB";"8D";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Erweiterter Erster Schulabschluss (für G8 Schüler)";26;3;"**";"1";
"BK";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";24;2;"**";"1";
"SB";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";24;2;"**";"1";
"BK";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";25;1;"**";"1";
"SB";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";25;1;"**";"1";
"BK";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";26;3;"**";"1";
"SB";"8G";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Mittlerer Schulabschluss nach Klasse 11 (für G8 Schüler)";26;3;"**";"1";
"BK";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";24;2;"**";"1";
"SB";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";24;2;"**";"1";
"BK";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";25;1;"**";"1";
"SB";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";25;1;"**";"1";
"BK";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";26;3;"**";"1";
"SB";"8J";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Fachhochschulreife";26;3;"**";"1";
"BK";"8K";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";29;1;"**";"1";
"SB";"8K";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";29;1;"**";"1";
"BK";"8K";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";30;2;"**";"1";
"SB";"8K";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und Allgemeine Hochschulreife";30;2;"**";"1";
"BK";"8Q";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife";29;1;"**";"1";
"SB";"8Q";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife";29;1;"**";"1";
"BK";"8Q";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife";30;2;"**";"1";
"SB";"8Q";"Vertiefte berufliche Kenntnisse, Fähigkeiten und Fertigkeiten und fachgebundene Hochschulreife";30;2;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";1;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";1;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";5;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";5;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";6;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";6;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";7;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";7;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";8;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";9;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";9;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";14;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";14;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";15;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";15;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";16;7;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";16;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";17;8;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";17;8;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";18;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";18;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";19;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";19;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";20;7;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";20;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";21;7;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";21;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";22;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";22;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";23;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";23;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";24;7;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";24;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";25;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";25;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";26;8;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";26;8;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";27;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";27;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";28;8;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";28;8;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";29;1;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";29;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";30;7;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";30;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";31;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";32;9;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";32;9;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";33;1;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";34;7;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";35;8;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";36;11;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";37;8;"**";"1";
"BK";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";38;8;"**";"1";
"SB";"9A";"Schulwechsler, die ihre Ausbildung an einer anderen Schule fortsetzen (ohne Bildungsgangabbrecher)";38;8;"**";"1";
"WB";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B)";0;0;"**";"1";
"WB";"D";"Erweiterter Erster Schulabschluss";0;0;"**";"1";
"WB";"F";"Mittlerer Schulabschluss - Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe (ohne Versetzungsvermerk)";0;0;"**";"1";
"WB";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (mit Versetzungsvermerk)";0;0;"**";"1";
"WB";"H";"Fachhochschulreife (schulischer Teil)";0;0;"**";"1";
"WB";"J";"Fachhochschulreife (nur für Studierende, die bereits den berufsbezogenen Teil der Fachhochschulreife erworben haben)";0;0;"**";"1";
"WB";"K";"Abitur (allgemeine Hochschulreife)";0;0;"**";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"01";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"02";"1";
"FW";"5G";"Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"03";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"03";"1";
"FW";"5G";"Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"04";"1";
"FW";"G";"Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"04";"1";
"FW";"5G";"Berufsabschluss und Mittlerer Schulabschluss - Fachoberschulreife mit Berechtigung zum Besuch der gymnasialen Oberstufe (nur Hiberniakolleg)";0;0;"05";"1";
"FW";"5J";"Berufsabschluss und Fachhochschulreife (nur Hiberniakolleg)";0;0;"05";"1";
"FW";"H";"Fachhochschulreife (schulischer Teil) (nur Hiberniakolleg)";0;0;"05";"1";
"FW";"5J";"Berufsabschluss und Fachhochschulreife (nur Hiberniakolleg)";0;0;"06";"1";
"FW";"5K";"Berufsabschluss und Abitur (allgemeine Hochschulreife) (nur Hiberniakolleg)";0;0;"06";"1";
"FW";"A";"Ohne Abschluss";0;0;"06";"1";
"GE";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"GM";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"GY";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"H";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"PS";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"R";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"S";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"SG";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"SK";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"SR";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"V";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"06";"1";
"FW";"H";"Fachhochschulreife (schulischer Teil) (nur Hiberniakolleg)";0;0;"06";"1";
"FW";"K";"Abitur (allgemeine Hochschulreife) (ohne Berufsabschluss) (nur Hiberniakolleg)";0;0;"06";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"GE";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"PS";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"06";"1";
"FW";"A";"Ohne Abschluss";0;0;"07";"1";
"GE";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"GM";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"GY";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"H";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"PS";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"R";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"S";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"SG";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"SK";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"SR";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"V";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"07";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"GE";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"PS";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"07";"1";
"FW";"A";"Ohne Abschluss";0;0;"08";"1";
"GE";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"GM";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"GY";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"H";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"PS";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"R";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"S";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"SG";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"SK";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"SR";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"V";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"08";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"GE";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"GY";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"H";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"PS";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"R";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"S";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"SK";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"V";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"08";"1";
"FW";"A";"Ohne Abschluss";0;0;"09";"1";
"GE";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"GM";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"GY";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"H";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"PS";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"R";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"S";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"SG";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"SK";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"SR";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"V";"A";"Ohne Abschluss (zehnjährige Vollzeitschulpflicht erfüllt) (Nur sachgerecht bei Nichtversetzung. Mit Versetzung in den Jg. 10 wird gem. § 40 APO-SI der Erste Schulabschluss erworben)";0;0;"09";"1";
"GE";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"GM";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"GY";"B";"Erster Schulabschluss nach Klasse 9 (ohne Berechtigung zum Besuch der Klasse 10 bzw. der gymnasialen Oberstufe; § 40 Abs. 4 S. 3 i.V.m. § 22 Abs. 1 u. § 25 Abs. 1 u. 2 APO-SI)";0;0;"09";"1";
"H";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"PS";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"R";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"S";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SG";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SK";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SR";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"V";"B";"Erster Schulabschluss (ohne Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"GE";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"GM";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"GY";"C";"Erster Schulabschluss nach Klasse 9 (mit Berechtigung zum Besuch der Klasse 10, Typ B) (nur G9 Bildungsgänge; mit Versetzung) (nur G9 Bildungsgänge)";0;0;"09";"1";
"H";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"PS";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"R";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"S";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SG";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SK";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"SR";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"V";"C";"Erster Schulabschluss (mit Berechtigung zum Besuch der Klasse 10, Typ B) (zehnjährige Vollzeitschulpflicht erfüllt)";0;0;"09";"1";
"FW";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"GE";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
"GM";"M";"Abschlusszeugnis im zieldifferenten Bildungsgang Geistige Entwicklung";0;0;"09";"1";
